lambda_max,peak_height,fwhm,area_under_curve,label
244.1,0.7959082591089138,29.19999999999999,25.8932451960154,genuine
241.3,0.7927056174346547,27.99999999999997,21.97249881839754,genuine
243.3,0.8193605835337812,28.0,22.584402206095454,genuine
243.3,0.8261224335343602,28.400000000000006,22.299461722609372,genuine
241.7,0.7968484125125301,27.99999999999997,21.43312776866692,genuine
242.9,0.8008072990294245,28.80000000000001,22.135169711194116,genuine
244.5,0.8490776322705786,27.599999999999966,27.225090422684513,genuine
242.9,0.7866130041461482,28.80000000000001,25.587888939872176,genuine
244.5,0.8226394925916977,27.600000000000023,25.88748237870305,genuine
242.9,0.7669646836417388,28.400000000000006,21.114215145391384,genuine
243.3,0.8497971252476478,28.80000000000001,27.026575282926967,genuine
242.1,0.8461036990310883,28.400000000000006,23.229969683664166,genuine
244.1,0.7996261459647868,28.400000000000006,25.22877128551704,genuine
243.3,0.7981584531197634,27.99999999999997,21.48258363679095,genuine
244.1,0.8200706940423601,27.99999999999997,26.037315148402563,genuine
243.3,0.8046889531012005,27.99999999999997,21.960082118775112,genuine
241.7,0.8100616074268508,28.400000000000006,22.02634876572508,genuine
244.5,0.8126009413758398,27.599999999999994,22.08896234394612,genuine
242.5,0.8133922789520798,27.599999999999966,22.270770156838534,genuine
242.1,0.8164520182023344,28.80000000000001,26.30262365255743,genuine
244.5,0.7807831437946953,29.19999999999999,25.090831547066973,genuine
243.3,0.8569946277612532,27.599999999999966,23.11716434361282,genuine
242.1,0.7821203160491138,28.399999999999977,21.56023147745751,genuine
243.3,0.7902414627549122,27.99999999999997,21.61513446251359,genuine
242.1,0.8010896314380933,28.400000000000006,21.623543489800564,genuine
242.9,0.7864945671137467,27.99999999999997,21.345745396843558,genuine
243.3,0.7833686700706967,27.99999999999997,20.955316765237832,genuine
242.9,0.8020847977593479,26.80000000000001,21.213525248973006,genuine
243.7,0.8538242926534487,27.99999999999997,27.07061943199315,genuine
243.3,0.7869597179142501,28.0,21.25736298022507,genuine
243.3,0.7881958997979619,28.399999999999977,25.35825307816416,genuine
242.5,0.7688335811558779,27.99999999999997,20.946442213174965,genuine
243.7,0.7882425579858232,27.99999999999997,21.288973183168363,genuine
242.1,0.8304434851383034,28.400000000000006,22.580857556765494,genuine
242.5,0.8504884322554567,27.599999999999966,23.34153106951166,genuine
242.1,0.833947670646541,28.80000000000001,26.53650276610621,genuine
241.7,0.7943455187718308,28.400000000000006,25.511967772386907,genuine
241.7,0.7991591195891402,28.0,21.627304227059827,genuine
241.3,0.8138994822545451,27.599999999999966,22.18111937119239,genuine
240.9,0.847867875584612,27.99999999999997,23.15056817818418,genuine
244.5,0.8485213087916648,28.80000000000001,23.10415540435101,genuine
